,ResponseId,Condition,influencer_video,harm_score,harm_score_factor,Condition,Sex,Ethnicity,Age,white,asian,black,multi,other,infl_expos,harmvape_pretest,video_id,influencer,credibility_median,video_number,credibility_median_rescale,sm_freq_use,sub_30dayuse,harm_pretest_binary,credibility_median_binary
130,R_18LJyj9fFn6AJVu,Young Treat,harm_fab,1,1,Young Treat,Male,Yes,14,0,0,0,0,1,1,3,video4_cred_fab,cred_fab,10,4,-0.762861585,1,0,1,0
131,R_18LJyj9fFn6AJVu,Young Treat,harm_mae,2,2,Young Treat,Male,Yes,14,0,0,0,0,1,1,3,video5_cred_mae,cred_mae,32,5,0.010770317,1,0,1,1
132,R_18LJyj9fFn6AJVu,Young Treat,harm_zanx,1,1,Young Treat,Male,Yes,14,0,0,0,0,1,1,3,video6_cred_zanx,cred_zanx,13,6,-0.657366325,1,0,1,0
133,R_18toCMgQjhdk3bb,Young Control,harm_aby,4,4,Young Control,Male,Yes,17,0,0,0,0,1,0,2,video1_cred_aby,cred_aby,73,1,1.452538862,1,0,0,1
134,R_18toCMgQjhdk3bb,Young Control,harm_anna,4,4,Young Control,Male,Yes,17,0,0,0,0,1,0,2,video2_cred_anna,cred_anna,77,2,1.593199208,1,0,0,1
135,R_18toCMgQjhdk3bb,Young Control,harm_cham,3,3,Young Control,Male,Yes,17,0,0,0,0,1,0,2,video3_cred_cham,cred_cham,67,3,1.241548344,1,0,0,1
136,R_18toCMgQjhdk3bb,Young Control,harm_fab,4,4,Young Control,Male,Yes,17,0,0,0,0,1,0,2,video4_cred_fab,cred_fab,81,4,1.733859554,1,0,0,1
137,R_18toCMgQjhdk3bb,Young Control,harm_mae,4,4,Young Control,Male,Yes,17,0,0,0,0,1,0,2,video5_cred_mae,cred_mae,73,5,1.452538862,1,0,0,1
138,R_18toCMgQjhdk3bb,Young Control,harm_zanx,4,4,Young Control,Male,Yes,17,0,0,0,0,1,0,2,video6_cred_zanx,cred_zanx,71,6,1.382208689,1,0,0,1
139,R_1AG4IjdDDq9AHNx,Old Control,harm_aby,1,1,Old Control,Male,No,14,1,0,0,0,0,0,1,video1_cred_aby,cred_aby,NA,1,NA,3,0,0,NA
