,ResponseId,Condition,influencer_video,vape_cool,vape_attr,video_id,influencer,credibility_median,video_number,credibility_median_rescale,Sex,Ethnicity,Age,white,asian,black,multi,other,infl_expos,vape_appeal,vape_appeal_sum,vape_appeal_pretest_sum,vape_appeal_pretest_3cat,vape_appeal_t3,Ethnicity,Sex,sm_freq_use,sub_30dayuse,credibility_median_binary
104,R_16eTFdIjKP5gM4R,Young Control,anna,0,0,video2_cred_anna,cred_anna,6,2,-0.903521931,Female,Yes,4,0,0,0,0,1,1,0,0,4,Low,Low,Yes,Female,1,0,0
105,R_16eTFdIjKP5gM4R,Young Control,cham,2,1,video3_cred_cham,cred_cham,40,3,0.292091009,Female,Yes,4,0,0,0,0,1,1,1.5,3,4,Low,Moderate,Yes,Female,1,0,1
106,R_16eTFdIjKP5gM4R,Young Control,fab,0,0,video4_cred_fab,cred_fab,0,4,-1.114512449,Female,Yes,4,0,0,0,0,1,1,0,0,4,Low,Low,Yes,Female,1,0,0
107,R_16eTFdIjKP5gM4R,Young Control,mae,0,1,video5_cred_mae,cred_mae,3,5,-1.00901719,Female,Yes,4,0,0,0,0,1,1,0.5,1,4,Low,Moderate,Yes,Female,1,0,0
108,R_16eTFdIjKP5gM4R,Young Control,zanx,1,0,video6_cred_zanx,cred_zanx,0,6,-1.114512449,Female,Yes,4,0,0,0,0,1,1,0.5,1,4,Low,Moderate,Yes,Female,1,0,0
109,R_16hGQxhUhGdn4kz,Old Control,aby,0,0,video1_cred_aby,cred_aby,31,1,-0.024394769,Female,No,1,0,1,0,0,0,1,0,0,0,Low,Low,No,Female,1,0,1
110,R_16hGQxhUhGdn4kz,Old Control,anna,0,0,video2_cred_anna,cred_anna,12,2,-0.692531412,Female,No,1,0,1,0,0,0,1,0,0,0,Low,Low,No,Female,1,0,0
111,R_16hGQxhUhGdn4kz,Old Control,cham,0,0,video3_cred_cham,cred_cham,13,3,-0.657366325,Female,No,1,0,1,0,0,0,1,0,0,0,Low,Low,No,Female,1,0,0
112,R_16hGQxhUhGdn4kz,Old Control,fab,0,0,video4_cred_fab,cred_fab,53,4,0.749237133,Female,No,1,0,1,0,0,0,1,0,0,0,Low,Low,No,Female,1,0,1
113,R_16hGQxhUhGdn4kz,Old Control,mae,0,0,video5_cred_mae,cred_mae,0,5,-1.114512449,Female,No,1,0,1,0,0,0,1,0,0,0,Low,Low,No,Female,1,0,0
114,R_16hGQxhUhGdn4kz,Old Control,zanx,0,0,video6_cred_zanx,cred_zanx,0,6,-1.114512449,Female,No,1,0,1,0,0,0,1,0,0,0,Low,Low,No,Female,1,0,0
115,R_16hSK87pBBzBSEN,Old Treat,aby,NA,NA,video1_cred_aby,cred_aby,NA,1,NA,Female,Yes,2,0,0,1,0,0,0,NA,NA,NA,NA,NA,Yes,Female,3,1,NA
116,R_16hSK87pBBzBSEN,Old Treat,anna,NA,NA,video2_cred_anna,cred_anna,NA,2,NA,Female,Yes,2,0,0,1,0,0,0,NA,NA,NA,NA,NA,Yes,Female,3,1,NA
117,R_16hSK87pBBzBSEN,Old Treat,cham,NA,NA,video3_cred_cham,cred_cham,NA,3,NA,Female,Yes,2,0,0,1,0,0,0,NA,NA,NA,NA,NA,Yes,Female,3,1,NA
118,R_16hSK87pBBzBSEN,Old Treat,fab,NA,NA,video4_cred_fab,cred_fab,NA,4,NA,Female,Yes,2,0,0,1,0,0,0,NA,NA,NA,NA,NA,Yes,Female,3,1,NA
119,R_16hSK87pBBzBSEN,Old Treat,mae,NA,NA,video5_cred_mae,cred_mae,NA,5,NA,Female,Yes,2,0,0,1,0,0,0,NA,NA,NA,NA,NA,Yes,Female,3,1,NA
120,R_16hSK87pBBzBSEN,Old Treat,zanx,NA,NA,video6_cred_zanx,cred_zanx,NA,6,NA,Female,Yes,2,0,0,1,0,0,0,NA,NA,NA,NA,NA,Yes,Female,3,1,NA
121,R_17kuPL1ybSFRqnM,Young Control,aby,0,0,video1_cred_aby,cred_aby,0,1,-1.114512449,Female,No,3,1,0,0,0,0,1,0,0,0,Low,Low,No,Female,1,0,0
122,R_17kuPL1ybSFRqnM,Young Control,anna,0,0,video2_cred_anna,cred_anna,5,2,-0.938687017,Female,No,3,1,0,0,0,0,1,0,0,0,Low,Low,No,Female,1,0,0
123,R_17kuPL1ybSFRqnM,Young Control,cham,0,0,video3_cred_cham,cred_cham,10,3,-0.762861585,Female,No,3,1,0,0,0,0,1,0,0,0,Low,Low,No,Female,1,0,0
124,R_17kuPL1ybSFRqnM,Young Control,fab,0,0,video4_cred_fab,cred_fab,0,4,-1.114512449,Female,No,3,1,0,0,0,0,1,0,0,0,Low,Low,No,Female,1,0,0
125,R_17kuPL1ybSFRqnM,Young Control,mae,0,0,video5_cred_mae,cred_mae,7,5,-0.868356844,Female,No,3,1,0,0,0,0,1,0,0,0,Low,Low,No,Female,1,0,0
126,R_17kuPL1ybSFRqnM,Young Control,zanx,0,0,video6_cred_zanx,cred_zanx,0,6,-1.114512449,Female,No,3,1,0,0,0,0,1,0,0,0,Low,Low,No,Female,1,0,0
127,R_18LJyj9fFn6AJVu,Young Treat,aby,1,4,video1_cred_aby,cred_aby,28,1,-0.129890028,Male,Yes,1,0,0,0,0,1,1,2.5,5,4,Low,High,Yes,Male,1,0,1
128,R_18LJyj9fFn6AJVu,Young Treat,anna,0,6,video2_cred_anna,cred_anna,19,2,-0.446375807,Male,Yes,1,0,0,0,0,1,1,3,6,4,Low,High,Yes,Male,1,0,0
